type,weight
machine_a,9.94
machine_a,10.02
machine_a,9.92
machine_a,10.16
machine_a,10.03
machine_a,9.92
machine_a,10.05
machine_a,10.07
machine_a,10.06
machine_a,9.97
machine_a,10.15
machine_a,10.04
machine_a,9.94
machine_a,9.78
machine_a,10.11
machine_a,10
machine_a,10
machine_a,10.09
machine_a,10.08
machine_a,10.06
machine_a,10.09
machine_a,10.08
machine_a,10.01
machine_a,9.8
machine_a,10.06
machine_a,9.99
machine_a,9.98
machine_a,9.85
machine_a,9.95
machine_a,10.04
machine_a,10.14
machine_a,9.99
machine_a,10.04
machine_a,9.99
machine_a,9.86
machine_a,9.96
machine_a,9.96
machine_a,9.99
machine_a,10.11
machine_a,10.08
machine_a,9.98
machine_a,9.97
machine_a,10.07
machine_a,10.06
machine_a,9.93
machine_a,9.93
machine_a,10.04
machine_a,10.08
machine_a,9.99
machine_a,10.09
machine_b,10.08
machine_b,9.88
machine_b,10.07
machine_b,9.77
machine_b,10.29
machine_b,10.4
machine_b,9.93
machine_b,9.79
machine_b,10.11
machine_b,9.97
machine_b,10.48
machine_b,9.99
machine_b,10.14
machine_b,10.01
machine_b,9.85
machine_b,10.04
machine_b,9.64
machine_b,10.29
machine_b,10.03
machine_b,10.43
machine_b,10.1
machine_b,9.86
machine_b,10.12
machine_b,9.81
machine_b,9.75
machine_b,10.06
machine_b,9.91
machine_b,10
machine_b,10.01
machine_b,9.88
machine_b,9.89
machine_b,9.97
machine_b,10.24
machine_b,9.7
machine_b,10.12
machine_b,10.07
machine_b,10.21
machine_b,9.94
machine_b,10.07
machine_b,10.05
machine_b,9.89
machine_b,10.24
machine_b,10.23
machine_b,10.14
machine_b,10.32
machine_b,10.11
machine_b,9.74
machine_b,9.89
machine_b,9.76
machine_b,9.91
